Human,SARS-CoV2,Score
Q5JTV8,P0DTC7,1.456
Q6NXT4,P0DTC7,1.628
P82663,P0DTC7,0.185
O43818,P0DTC7,0.003
Q00765,P0DTC7,1.465
Q7Z4H8,P0DTC7,0.019
P00387,P0DTC7,0.207
A7MCY6,P0DTC7,1.183
Q9UBU6,P0DTC7,1.68
Q9BS26,P0DTC7,0.021
Q92552,P0DTC7,0.084
Q7LGA3,P0DTC7,1.628
Q2PZI1,P0DTC7,1.628
Q5BJF2,P0DTC7,1.318
Q9BU02,P0DTC7,0.003
O43292,P0DTC7,0.03
Q9Y6M9,P0DTC7,0.186
Q8N6S5,P0DTC7,1.71
Q99988,P0DTC7,0.317
O95613,P0DTC7,0.306
P61026,P0DTC7,0.24
Q7KZI7,P0DTC7,0.757
Q96S52,P0DTC7,0.056
Q86VM9,P0DTC7,0.001
P52948,P0DTC7,0.074
Q04726,P0DTC7,0.736
Q96DA6,P0DTC7,0.152
Q9NVH1,P0DTC7,0.196
Q9NZJ7,P0DTC7,1.403
Q14789,P0DTC7,0.219
Q86YT6,P0DTC7,0.149
Q92769,P0DTC7,0.971
O43823,P0DTC7,1.412
Q6NXT6,P0DTC7,0.093
P21964,P0DTC7,1.491
Q96N16,P0DTC7,0.487
Q9NW13,P0DTC7,0.093
Q15904,P0DTC7,1.189
P29122,P0DTC7,0.023
Q7Z3B4,P0DTC7,0.495
P52306,P0DTC7,0.345
Q9Y680,P0DTC7,0.022
O95684,P0DTC7,0.091
P15151,P0DTC7,0.03
Q9C0B5,P0DTC7,1.41
Q96AY3,P0DTC7,0.334
O14745,P0DTC7,0.989
Q8NEW0,P0DTC7,1.225
Q7L2J0,P0DTC7,1.86
P13984,P0DTC7,0.002
Q8TAD8,P0DTC7,0.647
Q8N183,P0DTC7,0.91
Q96IZ5,P0DTC7,0.006
Q9Y312,P0DTC7,0.013
P07203,P0DTC7,0.986
P11310,P0DTC7,0.468
Q15370,P0DTC7,0.136
Q9H845,P0DTC7,0.096
Q9P0L2,P0DTC7,0.734
Q9UH99,P0DTC7,0.718
Q9H173,P0DTC7,0.024
P26358,P0DTC7,0.552
Q8TEM1,P0DTC7,1.179
O95573,P0DTC7,1.68
Q9H270,P0DTC7,0.245
Q9NXK8,P0DTC7,0.134
O14975,P0DTC7,0.08
O60885,P0DTC7,0.012
P31323,P0DTC7,0.748
Q7Z5G4,P0DTC7,0.094
Q9H773,P0DTC7,0.002
Q7Z7A1,P0DTC7,0.175
O14874,P0DTC7,0.074
Q4V328,P0DTC7,0.166
Q99567,P0DTC7,0.353
Q96S66,P0DTC7,0.338
P61011,P0DTC7,0.037
P17612,P0DTC7,0.821
Q96ER3,P0DTC7,0.002
O00469,P0DTC7,0.212
Q96HW7,P0DTC7,0.002
Q92615,P0DTC7,0.003
Q14157,P0DTC7,0.039
Q13310,P0DTC7,0.231
Q8IWR1,P0DTC7,3.703
Q12907,P0DTC7,0.258
Q8WVC6,P0DTC7,0.003
Q9BSC4,P0DTC7,0.002
Q96DZ1,P0DTC7,0.003
P63218,P0DTC7,0.038
Q5T1M5,P0DTC7,0.076
Q08431,P0DTC7,0.303
P12109,P0DTC7,0.944
P67870,P0DTC7,0.742
Q96I59,P0DTC7,0.022
Q9Y276,P0DTC7,0.186
O00116,P0DTC7,0.042
Q5VU43,P0DTC7,0.002
Q2M389,P0DTC7,0.041
Q8N4C6,P0DTC7,0.272
Q15056,P0DTC7,0.022
Q76N32,P0DTC7,0.003
P05026,P0DTC7,0.871
Q14181,P0DTC7,0.003
P35555,P0DTC7,0.829
P35556,P0DTC7,0.005
Q9BVK2,P0DTC7,1.536
Q2TAA5,P0DTC7,1.512
Q5VT66,P0DTC7,1.587
P62820,P0DTC7,0.213
Q92995,P0DTC7,0.102
Q66GS9,P0DTC7,0.003
O14578,P0DTC7,0.497
Q9BQT8,P0DTC7,1.71
Q9Y3A6,P0DTC7,1.163
Q99470,P0DTC7,0.002
P19784,P0DTC7,0.383
P50897,P0DTC7,0.572
Q08379,P0DTC7,0.13
Q08378,P0DTC7,0.273
Q9H3K2,P0DTC7,0.16
Q9H7Z7,P0DTC7,1.349
P55085,P0DTC7,1.207
Q9HD40,P0DTC7,0.076
Q8NBJ5,P0DTC7,0.003
Q9ULT8,P0DTC7,0.42
O00124,P0DTC7,0.054
O94973,P0DTC7,0.156
Q5T6F2,P0DTC7,0.001
Q6PML9,P0DTC7,1.463
P13861,P0DTC7,0.039
Q8NBX0,P0DTC7,0.002
P05556,P0DTC7,0.797
P61106,P0DTC7,2.147
Q13617,P0DTC7,0.021
Q86UT6,P0DTC7,2.175
Q13283,P0DTC7,1.518
Q9NU22,P0DTC7,0.002
Q5VT06,P0DTC7,0.153
Q9BV73,P0DTC7,0.022
Q99996,P0DTC7,1.333
Q13438,P0DTC7,0.19
P13804,P0DTC7,0.003
Q70EL1,P0DTC7,0.075
Q13546,P0DTC7,1.068
Q9BQQ3,P0DTC7,0.276
Q9BRN9,P0DTC7,0.159
P61586,P0DTC7,0.887
Q5EBL8,P0DTC7,0.138
P37198,P0DTC7,1.536
Q13868,P0DTC7,0.003
O75964,P0DTC7,0.199
Q04724,P0DTC7,0.736
Q8N0X7,P0DTC7,0.491
Q9H6F5,P0DTC7,0.002
P62072,P0DTC7,0.167
Q9NV92,P0DTC7,1.175
Q96CW5,P0DTC7,0.003
Q9Y2I6,P0DTC7,0.042
Q96CW1,P0DTC7,0.327
Q9GZU3,P0DTC7,1.465
Q9UHD2,P0DTC7,1.901
O43633,P0DTC7,0.217
P61916,P0DTC7,0.023
Q96SN8,P0DTC7,0.254
Q96CN9,P0DTC7,0.177
Q8IWF2,P0DTC7,0.003
Q9Y399,P0DTC7,0.126
Q96IV0,P0DTC7,0.836
P49454,P0DTC7,0.07
Q92820,P0DTC7,0.737
Q92900,P0DTC7,0.425
Q8TD19,P0DTC7,0.059
Q9UBX5,P0DTC7,0.21
Q969X5,P0DTC7,0.229
P61962,P0DTC7,0.135
Q99519,P0DTC7,0.15
Q3KQU3,P0DTC7,0.022
Q9NYU1,P0DTC7,0.021
Q8TEQ8,P0DTC7,1.512
Q9UJC3,P0DTC7,0.071
Q96D53,P0DTC7,1.288
Q6UUV7,P0DTC7,0.866
Q96HR9,P0DTC7,1.165
Q96A26,P0DTC7,1.283
P61006,P0DTC7,0.54
Q9BVL2,P0DTC7,0.476
P82675,P0DTC7,0.126
Q9H2P9,P0DTC7,0.003
P51149,P0DTC6,0.037
P51148,P0DTC6,0.032
P09601,P0DTC6,1.133
P62330,P0DTC6,0.389
O75506,P0DTC6,0.011
Q96MM7,P0DTC6,0.016
P78406,P0DTC6,0.507
Q8IZ52,P0DTC6,0.03
Q8IV08,P0DTC6,0.695
Q9P2E5,P0DTC6,0.034
Q9NQC3,P0DTC6,0.252
O96028,P0DTC6,0.611
Q2PZI1,P0DTC6,0.016
Q9H8W4,P0DTC6,0.033
P11940,P0DTC6,0.681
Q9BW92,P0DTC6,0.014
Q9HAV7,P0DTC6,0.063
O75347,P0DTC6,0.032
Q99720,P0DTC6,0.032
Q4KMQ2,P0DTC6,0.866
Q14157,P0DTC6,0.032
Q9UKA9,P0DTC6,0.1
P61916,P0DTC6,0.014
Q9H2H8,P0DTC6,0.063
Q9Y4L1,P0DTC6,1.176
Q9Y375,P0DTC6,0.014
Q4G0J3,P0DTC6,0.083
Q96CN9,P0DTC6,0.032
Q9UDR5,P0DTC6,0.18
Q15818,P0DTC6,0.014
Q8NEJ9,P0DTC6,0.218
Q8WUY8,P0DTC6,0.016
Q9NY61,P0DTC6,0.668
Q12770,P0DTC6,0.579
Q9NXA8,P0DTC6,1.02
Q9Y5J9,P0DTC6,0.032
P55085,P0DTC6,1.123
O14578,P0DTC6,0.478
Q10713,P0DTC6,0.014
Q9BSJ2,P0DTC6,0.014
Q6Y7W6,P0DTC6,0.333
Q13443,P0DTC6,0.616
O75592,P0DTC6,0.593
Q5VUA4,P0DTC6,0.099
P38606,P0DTC6,0.032
Q86VR2,P0DTC6,0.116
P28300,P0DTC6,0.693
Q5JTV8,P0DTC6,0.21
Q6NXT4,P0DTC6,0.016
Q6NXT6,P0DTC6,0.008
Q8IUD2,P0DTC6,0.032
Q00765,P0DTC6,0.016
Q7Z4H8,P0DTC6,0.014
P00387,P0DTC6,0.016
A7MCY6,P0DTC6,1.183
Q9UBU6,P0DTC6,0.016
Q8N4C6,P0DTC6,0.295
Q7LGA3,P0DTC6,0.016
Q5BJF2,P0DTC6,0.03
Q9NXK8,P0DTC6,0.18
Q04724,P0DTC6,0.789
Q8N6S5,P0DTC6,0.016
O95613,P0DTC6,0.292
P61026,P0DTC6,0.034
Q7KZI7,P0DTC6,0.789
Q6UUV7,P0DTC6,0.898
Q04726,P0DTC6,0.789
Q9NZJ7,P0DTC6,0.172
Q14789,P0DTC6,0.168
Q86YT6,P0DTC6,0.166
Q92769,P0DTC6,0.977
O43823,P0DTC6,1.137
P21964,P0DTC6,0.55
Q96N16,P0DTC6,0.025
Q9NW13,P0DTC6,0.107
Q15904,P0DTC6,0.028
Q7Z3B4,P0DTC6,0.391
P52306,P0DTC6,0.358
Q9Y680,P0DTC6,0.014
O95684,P0DTC6,0.116
P52948,P0DTC6,0.08
Q9C0B5,P0DTC6,0.212
Q5VT06,P0DTC6,0.178
P61011,P0DTC6,0.029
Q3KQU3,P0DTC6,0.014
O14745,P0DTC6,0.91
Q7L2J0,P0DTC6,1.393
Q8TAD8,P0DTC6,0.635
Q8N183,P0DTC6,0.761
Q9Y312,P0DTC6,0.007
P07203,P0DTC6,1.009
P11310,P0DTC6,0.457
Q15370,P0DTC6,0.18
P49454,P0DTC6,0.072
Q9BQT8,P0DTC6,0.016
Q9P0L2,P0DTC6,0.789
P82663,P0DTC6,0.014
Q9UH99,P0DTC6,0.182
Q9H173,P0DTC6,0.014
P26358,P0DTC6,0.569
Q8TEM1,P0DTC6,0.051
O95573,P0DTC6,0.361
Q9H270,P0DTC6,0.09
O60885,P0DTC6,0.014
Q96I59,P0DTC6,0.014
Q9HD40,P0DTC6,0.1
O14874,P0DTC6,0.086
Q4V328,P0DTC6,0.038
Q99567,P0DTC6,0.099
Q96S66,P0DTC6,0.028
P17612,P0DTC6,0.805
O00469,P0DTC6,0.032
P27105,P0DTC6,1.434
Q13310,P0DTC6,0.244
Q8IWR1,P0DTC6,2.339
Q12907,P0DTC6,0.032
Q5T1M5,P0DTC6,0.08
Q08431,P0DTC6,0.105
P12109,P0DTC6,0.656
Q9UBX5,P0DTC6,0.198
Q2M389,P0DTC6,0.032
Q15056,P0DTC6,0.014
P05026,P0DTC6,0.424
P35555,P0DTC6,0.856
Q9BVK2,P0DTC6,0.016
Q2TAA5,P0DTC6,0.016
P62820,P0DTC6,0.121
Q92995,P0DTC6,0.13
P35658,P0DTC6,0.228
Q9Y3A6,P0DTC6,0.029
Q99988,P0DTC6,0.359
P19784,P0DTC6,0.407
Q7Z7A1,P0DTC6,0.178
P50897,P0DTC6,0.517
P29122,P0DTC6,0.014
Q08379,P0DTC6,0.032
Q08378,P0DTC6,0.036
Q9H3K2,P0DTC6,0.142
Q9H7Z7,P0DTC6,0.262
Q9ULT8,P0DTC6,0.437
O94973,P0DTC6,0.051
Q6PML9,P0DTC6,0.016
P05556,P0DTC6,0.423
P61106,P0DTC6,1.985
Q8NEW0,P0DTC6,0.179
Q86UT6,P0DTC6,2.041
Q92900,P0DTC6,0.504
Q9BV73,P0DTC6,0.014
Q99996,P0DTC6,1.685
Q13438,P0DTC6,0.1
P31323,P0DTC6,0.671
Q70EL1,P0DTC6,0.1
Q13546,P0DTC6,0.859
Q9BQQ3,P0DTC6,0.12
Q13283,P0DTC6,1.529
P61586,P0DTC6,0.735
Q5EBL8,P0DTC6,0.031
P37198,P0DTC6,1.391
Q8N0X7,P0DTC6,0.42
Q5VT66,P0DTC6,0.016
Q13617,P0DTC6,0.016
Q9NV92,P0DTC6,0.05
Q9Y2I6,P0DTC6,0.032
Q96CW1,P0DTC6,0.261
Q9GZU3,P0DTC6,0.016
Q9UHD2,P0DTC6,1.939
O43633,P0DTC6,0.036
Q96AY3,P0DTC6,0.358
Q96SN8,P0DTC6,0.266
Q96IV0,P0DTC6,0.872
Q92820,P0DTC6,0.73
Q8TD19,P0DTC6,0.065
P67870,P0DTC6,0.779
Q969X5,P0DTC6,0.032
P61962,P0DTC6,0.18
Q99519,P0DTC6,0.037
Q9NYU1,P0DTC6,0.015
Q8TEQ8,P0DTC6,0.016
Q9UJC3,P0DTC6,0.071
Q96D53,P0DTC6,0.119
Q96HR9,P0DTC6,0.032
Q96A26,P0DTC6,0.017
P61006,P0DTC6,0.389
Q9BVL2,P0DTC6,0.375
P51149,P0DTC5,1.2
P51148,P0DTC5,0.808
P09601,P0DTC5,0.919
P62330,P0DTC5,0.716
Q9BQT8,P0DTC5,2.433
Q96MM7,P0DTC5,2.407
Q8IZ52,P0DTC5,1.691
O43818,P0DTC5,0.339
Q8IV08,P0DTC5,2.959
Q9UL15,P0DTC5,0.109
Q9H270,P0DTC5,0.728
Q9P2E5,P0DTC5,2.007
Q9NQC3,P0DTC5,0.449
Q8IWA5,P0DTC5,0.606
Q9H8W4,P0DTC5,0.337
P27105,P0DTC5,1.576
P11940,P0DTC5,0.19
Q9BW92,P0DTC5,0.014
O75347,P0DTC5,0.193
Q99720,P0DTC5,0.353
P13861,P0DTC5,0.175
Q4KMQ2,P0DTC5,1.92
P09884,P0DTC5,0.329
P61916,P0DTC5,0.508
Q9H2H8,P0DTC5,0.064
Q5JRX3,P0DTC5,0.318
Q6PKG0,P0DTC5,0.158
Q9Y4L1,P0DTC5,1.428
Q9Y375,P0DTC5,0.493
Q4G0J3,P0DTC5,0.219
Q8IUD2,P0DTC5,0.432
Q6UW63,P0DTC5,1.502
P78406,P0DTC5,0.541
Q9UDR5,P0DTC5,0.233
P62072,P0DTC5,0.604
Q15818,P0DTC5,0.023
Q8NEJ9,P0DTC5,0.279
Q8WUY8,P0DTC5,1.818
Q99959,P0DTC5,0.143
Q9Y5J6,P0DTC5,0.673
Q9Y5J7,P0DTC5,0.601
Q9NY61,P0DTC5,0.369
O75964,P0DTC5,0.521
Q12770,P0DTC5,0.841
Q9NXA8,P0DTC5,0.971
Q96B26,P0DTC5,0.284
P48556,P0DTC5,0.162
Q9NXH9,P0DTC5,0.263
Q10713,P0DTC5,0.447
Q9BSJ2,P0DTC5,0.259
Q9UJZ1,P0DTC5,0.598
O95260,P0DTC5,0.053
Q6Y7W6,P0DTC5,2.077
Q13443,P0DTC5,2.188
O75592,P0DTC5,0.875
Q9BQE4,P0DTC5,0.327
P38606,P0DTC5,0.638
P58166,P0DTC5,0.012
Q6NXT4,P0DTC5,2.324
Q9H488,P0DTC5,0.095
O95391,P0DTC5,0.205
Q86VR2,P0DTC5,1.818
Q8NBX0,P0DTC5,0.174
Q5JTV8,P0DTC5,1.797
P82663,P0DTC5,0.531
Q99988,P0DTC5,0.186
Q00765,P0DTC5,2.084
Q7Z4H8,P0DTC5,0.017
P00387,P0DTC5,0.555
Q9BRN9,P0DTC5,0.227
Q9UBU6,P0DTC5,2.18
Q9BS26,P0DTC5,1.276
Q92552,P0DTC5,0.474
Q8N4C6,P0DTC5,0.248
Q7LGA3,P0DTC5,2.29
Q2PZI1,P0DTC5,2.264
Q5BJF2,P0DTC5,1.857
Q7Z7A1,P0DTC5,0.154
O43292,P0DTC5,0.313
Q9Y6M9,P0DTC5,0.525
Q8N6S5,P0DTC5,2.374
Q9NVH1,P0DTC5,0.552
P61026,P0DTC5,0.828
Q7KZI7,P0DTC5,0.569
Q96S52,P0DTC5,0.395
Q86VM9,P0DTC5,0.23
Q92820,P0DTC5,0.818
Q04726,P0DTC5,0.609
Q96DA6,P0DTC5,0.439
Q9NZJ7,P0DTC5,1.607
Q14789,P0DTC5,0.328
Q86YT6,P0DTC5,0.169
Q92769,P0DTC5,0.559
O43823,P0DTC5,0.983
P21964,P0DTC5,1.452
Q96N16,P0DTC5,0.343
Q8N766,P0DTC5,0.406
Q9NW13,P0DTC5,0.18
Q15904,P0DTC5,1.664
Q7Z3B4,P0DTC5,0.326
P52306,P0DTC5,0.267
Q9Y680,P0DTC5,0.131
P28300,P0DTC5,0.272
O95684,P0DTC5,0.138
P15151,P0DTC5,0.055
O43633,P0DTC5,0.55
Q9C0B5,P0DTC5,1.927
P52948,P0DTC5,0.362
Q3KQU3,P0DTC5,0.133
Q08431,P0DTC5,1.393
O14745,P0DTC5,0.645
Q8NEW0,P0DTC5,1.369
Q7L2J0,P0DTC5,0.089
P13984,P0DTC5,0.236
Q8TAD8,P0DTC5,0.767
Q8N183,P0DTC5,0.713
Q96IZ5,P0DTC5,0.134
Q9Y312,P0DTC5,0.141
P07203,P0DTC5,0.952
P11310,P0DTC5,0.515
Q15370,P0DTC5,0.291
Q9H845,P0DTC5,0.414
Q9P0L2,P0DTC5,0.439
O76094,P0DTC5,0.183
Q9UH99,P0DTC5,0.658
Q9H173,P0DTC5,0.111
Q9BQS8,P0DTC5,0.333
Q8TEM1,P0DTC5,1.462
O95573,P0DTC5,1.984
A7MCY6,P0DTC5,0.773
Q9NXK8,P0DTC5,0.084
O14975,P0DTC5,1.38
O60885,P0DTC5,0.362
P31323,P0DTC5,0.459
Q96I59,P0DTC5,0.288
Q9HD40,P0DTC5,0.102
O14874,P0DTC5,0.392
Q4V328,P0DTC5,0.638
Q99567,P0DTC5,6.494
Q96S66,P0DTC5,0.501
P61011,P0DTC5,0.152
P17612,P0DTC5,0.518
Q96ER3,P0DTC5,0.263
O00469,P0DTC5,0.684
Q96HW7,P0DTC5,0.242
Q92615,P0DTC5,0.209
Q14157,P0DTC5,0.094
Q13310,P0DTC5,0.143
Q8IWR1,P0DTC5,3.839
Q12907,P0DTC5,0.654
Q8WVC6,P0DTC5,0.004
Q9BSC4,P0DTC5,0.139
O96028,P0DTC5,0.43
O94973,P0DTC5,1.939
P63218,P0DTC5,0.196
Q5T1M5,P0DTC5,0.036
Q7Z5G4,P0DTC5,0.641
P12109,P0DTC5,1.68
Q9UBX5,P0DTC5,0.166
Q6PML9,P0DTC5,2.123
P05026,P0DTC5,0.857
Q9Y276,P0DTC5,0.525
Q5VU43,P0DTC5,0.178
Q76N32,P0DTC5,0.249
Q96DZ1,P0DTC5,2.005
Q14181,P0DTC5,0.291
P35555,P0DTC5,1.581
P35556,P0DTC5,0.013
Q9BVK2,P0DTC5,2.358
Q2TAA5,P0DTC5,2.251
Q5VT66,P0DTC5,2.181
P62820,P0DTC5,0.562
Q92995,P0DTC5,0.253
Q15056,P0DTC5,0.111
Q66GS9,P0DTC5,0.149
Q2M389,P0DTC5,0.311
P35658,P0DTC5,0.286
O14578,P0DTC5,0.481
Q9Y3A6,P0DTC5,1.667
Q99470,P0DTC5,0.094
P19784,P0DTC5,0.348
Q9BU02,P0DTC5,0.127
P50897,P0DTC5,0.413
P29122,P0DTC5,0.709
Q08379,P0DTC5,0.529
Q08378,P0DTC5,0.673
Q9H3K2,P0DTC5,0.367
Q9H7Z7,P0DTC5,1.803
P55085,P0DTC5,0.851
Q8NBJ5,P0DTC5,1.941
Q9Y5J9,P0DTC5,0.453
O00124,P0DTC5,0.387
Q9HAV7,P0DTC5,0.472
Q5T6F2,P0DTC5,0.157
P61106,P0DTC5,2.88
Q13617,P0DTC5,0.206
Q86UT6,P0DTC5,1.338
P05556,P0DTC5,0.573
Q5VUA4,P0DTC5,0.304
Q9NU22,P0DTC5,0.189
Q9H773,P0DTC5,0.111
Q9BV73,P0DTC5,0.214
Q99996,P0DTC5,0.516
Q13438,P0DTC5,1.747
P13804,P0DTC5,0.318
O00116,P0DTC5,0.421
Q13546,P0DTC5,0.891
Q9BQQ3,P0DTC5,0.559
Q13283,P0DTC5,0.808
P26358,P0DTC5,0.445
P61586,P0DTC5,0.637
Q5EBL8,P0DTC5,0.206
P37198,P0DTC5,0.998
Q13868,P0DTC5,0.223
Q04724,P0DTC5,0.607
Q5VT06,P0DTC5,0.123
Q8N0X7,P0DTC5,0.322
Q9H6F5,P0DTC5,0.241
Q6NXT6,P0DTC5,0.341
Q9NV92,P0DTC5,1.484
Q96CW5,P0DTC5,0.142
Q9Y2I6,P0DTC5,0.156
Q96CW1,P0DTC5,1.64
O95613,P0DTC5,0.266
Q9GZU3,P0DTC5,1.822
Q9UHD2,P0DTC5,1.864
O75506,P0DTC5,0.253
Q96AY3,P0DTC5,0.258
Q96SN8,P0DTC5,0.213
Q96CN9,P0DTC5,0.414
Q8IWF2,P0DTC5,2.425
Q9Y399,P0DTC5,0.567
Q96IV0,P0DTC5,0.683
P49454,P0DTC5,0.256
Q6UUV7,P0DTC5,0.464
Q92900,P0DTC5,0.244
Q8TD19,P0DTC5,0.127
P67870,P0DTC5,0.715
Q969X5,P0DTC5,0.672
P61962,P0DTC5,0.321
Q99519,P0DTC5,0.456
Q9NYU1,P0DTC5,1.661
Q8TEQ8,P0DTC5,2.251
Q9UJC3,P0DTC5,0.154
Q96D53,P0DTC5,1.61
Q96HR9,P0DTC5,1.421
Q96A26,P0DTC5,1.662
P61006,P0DTC5,0.764
Q9BVL2,P0DTC5,0.341
P82675,P0DTC5,0.567
Q9H2P9,P0DTC5,0.127
P51149,P0DTC4,1.266
P51148,P0DTC4,0.824
Q9UKA9,P0DTC4,0.01
Q9HD40,P0DTC4,0.112
Q96MM7,P0DTC4,3.013
Q8IZ52,P0DTC4,1.874
O43818,P0DTC4,0.349
Q8IV08,P0DTC4,3.065
Q9UL15,P0DTC4,1.621
Q9H270,P0DTC4,1.881
Q9P2E5,P0DTC4,2.39
Q9NQC3,P0DTC4,1.867
Q8IWA5,P0DTC4,0.606
Q9H8W4,P0DTC4,0.388
O95613,P0DTC4,0.168
O43292,P0DTC4,2.116
P11940,P0DTC4,0.752
Q9BQS8,P0DTC4,0.333
Q9BW92,P0DTC4,0.921
Q08431,P0DTC4,1.454
O75347,P0DTC4,1.618
Q99720,P0DTC4,2.301
Q14157,P0DTC4,0.113
O43823,P0DTC4,2.209
Q9H2H8,P0DTC4,0.064
Q5JRX3,P0DTC4,0.322
Q6PKG0,P0DTC4,0.842
Q66GS9,P0DTC4,2.075
Q9Y375,P0DTC4,2.424
Q4G0J3,P0DTC4,0.229
Q5VUA4,P0DTC4,2.107
Q6UW63,P0DTC4,1.502
P78406,P0DTC4,1.663
Q9UDR5,P0DTC4,0.875
P62072,P0DTC4,1.737
Q15818,P0DTC4,0.028
Q8NEJ9,P0DTC4,0.294
Q8WUY8,P0DTC4,2.424
Q99959,P0DTC4,1.29
O76094,P0DTC4,0.911
Q9Y5J6,P0DTC4,1.957
Q9Y5J7,P0DTC4,1.734
Q9NY61,P0DTC4,1.364
O95260,P0DTC4,0.053
O95573,P0DTC4,3.181
Q12770,P0DTC4,1.958
Q9NXA8,P0DTC4,0.365
P48556,P0DTC4,0.162
O14874,P0DTC4,0.395
P13861,P0DTC4,1.392
Q10713,P0DTC4,0.452
Q9UJZ1,P0DTC4,2.014
Q13443,P0DTC4,3.102
Q9BRN9,P0DTC4,0.227
Q9BQE4,P0DTC4,1.544
P38606,P0DTC4,0.666
P58166,P0DTC4,0.835
Q9H488,P0DTC4,0.095
Q6Y7W6,P0DTC4,3.993
O95391,P0DTC4,0.213
Q86VR2,P0DTC4,2.424
Q9BSJ2,P0DTC4,1.91
Q5JTV8,P0DTC4,3.595
Q6NXT4,P0DTC4,2.93
Q6NXT6,P0DTC4,0.341
Q8IUD2,P0DTC4,1.948
Q96S66,P0DTC4,0.563
Q7Z4H8,P0DTC4,0.022
P00387,P0DTC4,0.625
O75592,P0DTC4,0.889
Q9UBU6,P0DTC4,2.786
Q9BS26,P0DTC4,1.276
Q92552,P0DTC4,0.484
Q7LGA3,P0DTC4,2.896
Q5BJF2,P0DTC4,2.241
Q9BU02,P0DTC4,0.132
Q9NXK8,P0DTC4,0.084
Q9Y6M9,P0DTC4,0.525
Q8N6S5,P0DTC4,2.98
Q9NVH1,P0DTC4,0.552
P61026,P0DTC4,1.857
Q9BV19,P0DTC4,1.926
Q96S52,P0DTC4,0.395
Q86VM9,P0DTC4,0.238
Q6UUV7,P0DTC4,1.878
Q04726,P0DTC4,1.423
Q9Y399,P0DTC4,0.567
Q9BVL2,P0DTC4,0.411
Q9NZJ7,P0DTC4,1.991
Q14789,P0DTC4,0.338
P05026,P0DTC4,1.721
Q86YT6,P0DTC4,0.173
Q92769,P0DTC4,1.24
P61916,P0DTC4,1.287
Q8N766,P0DTC4,0.406
Q9NW13,P0DTC4,0.193
Q8NBX0,P0DTC4,0.174
Q7Z3B4,P0DTC4,0.389
P52306,P0DTC4,0.267
Q9Y680,P0DTC4,0.143
P07203,P0DTC4,2.082
P28300,P0DTC4,0.03
P15151,P0DTC4,1.339
O43633,P0DTC4,1.903
Q9C0B5,P0DTC4,2.294
Q7KZI7,P0DTC4,0.786
O95684,P0DTC4,1.451
Q96AY3,P0DTC4,0.15
O14745,P0DTC4,1.827
Q8NEW0,P0DTC4,1.612
Q7L2J0,P0DTC4,0.094
P13984,P0DTC4,0.236
Q8TAD8,P0DTC4,0.26
Q8N183,P0DTC4,0.527
Q96IZ5,P0DTC4,0.144
P62330,P0DTC4,1.351
P13804,P0DTC4,0.323
Q9HAV7,P0DTC4,1.917
Q13617,P0DTC4,1.307
Q9P0L2,P0DTC4,0.457
Q96SN8,P0DTC4,1.728
Q9UH99,P0DTC4,1.943
Q8IWR1,P0DTC4,4.21
Q8TEM1,P0DTC4,1.729
Q15904,P0DTC4,3.507
Q8IWR0,P0DTC4,0.01
O14975,P0DTC4,1.861
O60885,P0DTC4,1.269
Q9H773,P0DTC4,0.883
Q8WVC6,P0DTC4,0.004
Q4V328,P0DTC4,2.593
Q5VT06,P0DTC4,0.125
Q99567,P0DTC4,0.294
P21964,P0DTC4,1.547
Q00765,P0DTC4,2.69
P61011,P0DTC4,0.167
P17612,P0DTC4,1.212
Q96ER3,P0DTC4,0.263
Q9NXH9,P0DTC4,0.27
O00469,P0DTC4,0.75
Q96HW7,P0DTC4,0.242
Q8NBJ5,P0DTC4,1.941
Q96B26,P0DTC4,1.571
P09884,P0DTC4,0.636
Q13310,P0DTC4,0.153
P26358,P0DTC4,0.303
Q12907,P0DTC4,1.688
Q7Z4Q2,P0DTC4,1.926
Q9BSC4,P0DTC4,0.149
P27105,P0DTC4,3.976
Q92820,P0DTC4,0.492
O96028,P0DTC4,0.26
O94973,P0DTC4,2.987
P63218,P0DTC4,1.61
Q5T1M5,P0DTC4,0.042
Q96DA6,P0DTC4,0.439
P12109,P0DTC4,2.447
Q9UBX5,P0DTC4,1.9
A7MCY6,P0DTC4,0.559
Q96I59,P0DTC4,0.293
Q9Y276,P0DTC4,0.525
Q5VU43,P0DTC4,1.462
Q8N4C6,P0DTC4,0.251
Q15056,P0DTC4,0.573
Q76N32,P0DTC4,2.081
Q96DZ1,P0DTC4,3.931
Q14181,P0DTC4,0.291
P35555,P0DTC4,1.645
P35556,P0DTC4,0.013
Q9BVK2,P0DTC4,2.964
Q2TAA5,P0DTC4,2.857
O14578,P0DTC4,1.366
Q5VT66,P0DTC4,2.792
P62820,P0DTC4,1.77
Q92995,P0DTC4,1.165
Q9Y4L1,P0DTC4,2.966
P49454,P0DTC4,1.506
Q2M389,P0DTC4,0.32
P35658,P0DTC4,0.291
Q9Y3A6,P0DTC4,1.935
Q99470,P0DTC4,2.02
P19784,P0DTC4,1.526
Q7Z7A1,P0DTC4,0.159
P50897,P0DTC4,0.425
P29122,P0DTC4,1.374
Q08379,P0DTC4,2.349
Q08378,P0DTC4,2.542
Q9H3K2,P0DTC4,0.367
Q9H845,P0DTC4,0.418
Q9H7Z7,P0DTC4,2.052
